ID,ID,Latitude,Longitude
11334,11334,-2.653712334,150.5265962
11333,11333,-2.658852583,150.663895002
11332,11332,-2.6624889291,150.683102145
11331,11331,-2.6662533816,150.447770179
11330,11330,-2.6606132341,150.519135292
11329,11329,-2.6709244994,150.473158903
11328,11328,-2.6700564577,150.334127054
11327,11327,-2.6677614435,150.733419678
11326,11326,-2.6671082933,150.509976241
11325,11325,-2.6929859259,150.569526074
11324,11324,-2.6720631725,150.581037889
11323,11323,-2.6770449624,150.616398153
11322,11322,-2.6767630552,150.771719736
11321,11321,-2.680810473,150.734083127
11320,11320,-2.6818331855,150.63463896
11319,11319,-2.7025530091,150.708680348
11318,11318,-2.6813316002,150.588472824
11317,11317,-2.6828556808,150.57800537
11316,11316,-2.6862677176,150.754180129
11315,11315,-2.6906824051,150.85081079
11314,11314,-2.6944801534,150.762879099
11313,11313,-2.7023562813,150.64201207
11311,11311,-2.7776054206,151.954692081
11310,11310,-2.7332923414,150.668289364
11309,11309,-2.724187175,150.71332834
11308,11308,-2.731302077,147.348214682
11307,11307,-2.7369956636,147.339005176
11306,11306,-2.7378935514,150.787415552
11305,11305,-2.7845656646,152.656290164
11304,11304,-2.9261777534,152.014915085
11303,11303,-2.8423224783,146.236764733
11302,11302,-2.8486043479,146.232357633
11301,11301,-2.8707223175,146.461173264
11300,11300,-2.8948039762,147.060437574
11299,11299,-2.8966618842,146.403745831
11298,11298,-2.9522571556,150.877176466
11297,11297,-2.9099538283,151.1306289
11296,11296,-2.9104716449,146.371777874
11295,11295,-2.9152383649,146.36864768
11294,11294,-2.9177223158,146.36530539
11293,11293,-2.9209354257,146.361951419
11292,11292,-2.9261379115,146.359577828
11291,11291,-2.9308494108,146.357520805
11290,11290,-2.9341936587,146.355817316
11289,11289,-2.9537132885,152.656254046
11288,11288,-2.9706552241,150.834760018
11287,11287,-2.9934774382,150.730785366
11286,11286,-3.0349151403,152.681465108
11285,11285,-3.0303757929,152.665841195
11284,11284,-3.0331292774,152.658306541
11283,11283,-3.1229179894,152.597611011
11282,11282,-3.1016274198,142.208461189
11281,11281,-3.1083031703,154.443965546
11280,11280,-3.1151969108,154.440339945
11279,11279,-3.1158724682,154.459206405
11278,11278,-3.1222107016,142.398295035
11277,11277,-3.1272621206,142.463315359
11276,11276,-3.1254399868,154.499585191
11275,11275,-3.1330901281,154.506484199
11274,11274,-3.1408425967,154.471659342
11273,11273,-3.14628258,142.480443761
11272,11272,-3.1416667303,154.472498576
11271,11271,-3.1604269306,154.523743783
11270,11270,-3.1753410037,154.509424173
11269,11269,-3.1784178937,154.520011924
11268,11268,-3.2077331291,143.257637537
11267,11267,-3.2357586852,144.028977271
11266,11266,-3.2298400638,143.300364426
11265,11265,-3.2798269857,154.64141365
11264,11264,-3.2832715081,154.714715044
11263,11263,-3.2941610078,154.713749097
11262,11262,-3.300305715,154.714536441
11261,11261,-3.3075870731,154.714741271
11260,11260,-3.3487386105,143.556652282
11259,11259,-3.3148511599,154.657851918
11258,11258,-3.3167287781,154.715821182
11257,11257,-3.3227908719,154.663018253
11256,11256,-3.3232879144,154.714014105
11255,11255,-3.3377770195,154.671605822
11254,11254,-3.3389425466,154.722233736
11253,11253,-3.345832076,154.722443658
11252,11252,-3.3518633712,144.133524249
11251,11251,-3.3578789138,144.38924419
11250,11250,-3.35829689,154.691511781
11249,11249,-3.4141997059,154.734920314
11248,11248,-3.3843224169,153.300414477
11247,11247,-3.3758455709,153.251638327
11246,11246,-3.3808363835,143.41000827
11245,11245,-3.4167278736,143.582112695
11244,11244,-3.3857948293,153.243583887
11243,11243,-3.395385801,143.449234844
11242,11242,-3.4075477698,143.488120028
11241,11241,-3.4696555396,153.213448362
11240,11240,-3.4586869183,152.232151316
11239,11239,-3.5096474973,144.606667362
11238,11238,-3.5077809862,153.18122225
11237,11237,-3.5064367078,153.209437318
11236,11236,-3.5075149983,143.603314231
11235,11235,-3.5108470518,153.208203035
11234,11234,-3.5137896762,144.587091643
11233,11233,-3.5241992544,153.187051738
11232,11232,-3.5383897464,153.19739744
11231,11231,-3.6135313004,144.819995538
11230,11230,-3.6282356315,144.631622163
11229,11229,-3.7021195052,152.34664669
11228,11228,-3.7943419586,144.216744782
11227,11227,-3.8038731871,144.168814619
11226,11226,-3.7912358824,144.237566462
11225,11225,-3.8023127016,144.183990391
11224,11224,-3.8044263781,144.248140243
11223,11223,-3.8099444689,144.353660731
11222,11222,-3.8122433293,144.126281037
11221,11221,-3.8259331936,144.229055397
11220,11220,-3.8368792956,144.241524584
11219,11219,-3.9979433733,144.964689082
11218,11218,-4.0204304066,153.705858896
11217,11217,-4.0075079803,144.669573884
11216,11216,-4.0818415166,153.619562673
11215,11215,-4.0787829321,145.035136316
11214,11214,-4.1120760117,152.071747063
11213,11213,-4.1240409904,152.420840435
11212,11212,-4.1146115067,152.435796726
11211,11211,-4.1179257099,152.440819378
11210,11210,-4.1737800573,152.458054161
11209,11209,-5.476169872,150.614315868
11208,11208,-4.1479165423,151.572103107
11207,11207,-4.1470840068,151.568747105
11206,11206,-4.1545878075,151.572101159
11205,11205,-4.1582111624,151.570124816
11204,11204,-4.1629224722,151.575236542
11203,11203,-4.172928064,144.873260505
11202,11202,-4.1708262358,151.549156132
11201,11201,-4.1839438431,151.939946262
11200,11200,-4.1912526126,151.633778589
11199,11199,-4.2004195599,151.794602197
11198,11198,-4.2040966041,152.423335093
11197,11197,-4.2177831598,152.414311955
11196,11196,-4.2100200168,153.070237337
11195,11195,-4.2145786844,151.809176589
11194,11194,-4.2204684615,152.465168204
11193,11193,-4.2270958727,152.399730319
11192,11192,-4.2321585705,152.458639065
11191,11191,-4.2300217919,144.942273745
11190,11190,-4.2323958729,152.440318982
11189,11189,-4.2335495184,152.392748115
11188,11188,-4.2386539369,152.39688309
11187,11187,-4.243612574,152.185520937
11186,11186,-4.2439559369,152.416172401
11185,11185,-4.2704540101,152.345185574
11184,11184,-4.2708749671,152.327488326
11183,11183,-4.2966855466,145.01206611
11182,11182,-4.3071146611,145.017075991
11181,11181,-4.3919807977,154.130827143
11180,11180,-4.3721728063,154.101865628
11179,11179,-4.3803974066,154.106368828
11178,11178,-4.3944165515,145.201183643
11177,11177,-4.4470264313,159.393664075
11176,11176,-4.449584831,159.398323059
11175,11175,-4.5147437093,154.209375246
11174,11174,-4.4537551654,159.338749253
11173,11173,-4.4549401804,159.403425807
11172,11172,-4.4693689975,154.162222614
11171,11171,-4.465576608,159.410280067
11170,11170,-4.4777871142,159.421370923
11169,11169,-4.4864205284,159.428549916
11168,11168,-4.4965941115,154.165653292
11167,11167,-4.4900408241,159.435822536
11166,11166,-4.4945922079,159.331661898
11165,11165,-4.4954256993,159.444167555
11164,11164,-4.5003601696,159.451022917
11163,11163,-4.502946479,159.454552598
