ID,ID,Latitude,Longitude
15779,15779,-8.2701907013,157.143420757
15778,15778,-8.2705499882,157.205213761
15777,15777,-8.269383629,157.153882003
15776,15776,-8.2691762844,157.13127053
15775,15775,-8.2709463967,157.165356479
15774,15774,-8.2704471925,157.113331796
15773,15773,-8.2716783593,157.108357723
15772,15772,-8.2722588972,157.421402105
15771,15771,-8.2729426357,157.160000714
15770,15770,-8.2758441239,157.123911475
15769,15769,-8.2757484092,157.51099788
15768,15768,-8.2785952652,157.431454037
15767,15767,-8.2746101682,157.784161024
15766,15766,-8.2757773259,157.205434093
15765,15765,-8.2754595989,157.115421171
15764,15764,-8.2787679867,157.169584492
15763,15763,-8.2761913548,157.442673951
15762,15762,-8.2787692496,157.440221622
15761,15761,-8.2783494986,159.773338318
15760,15760,-8.2790874452,157.495118224
15759,15759,-8.2793111306,157.338439441
15758,15758,-8.2842273503,157.145824691
15757,15757,-8.2795860554,157.112074168
15756,15756,-8.2796055028,157.463756763
15755,15755,-8.2808443454,157.131914999
15754,15754,-8.2820938314,157.126391115
15753,15753,-8.2817632607,157.394602265
15752,15752,-8.2821111404,157.208327713
15751,15751,-8.282943074,157.205419924
15750,15750,-8.2859603581,157.336310677
15749,15749,-8.2829231406,157.793752598
15748,15748,-8.2838526158,157.507975406
15747,15747,-8.2975389893,157.437394541
15746,15746,-8.2845018643,157.494642413
15745,15745,-8.2832048441,157.425828924
15744,15744,-8.2850296736,157.177911784
15743,15743,-8.2836940705,157.123513111
15742,15742,-8.3061040254,157.48886823
15741,15741,-8.2872923905,157.516731887
15740,15740,-8.2849068486,157.400980735
15739,15739,-8.2847431523,157.188596943
15738,15738,-8.2846088018,157.552528707
15737,15737,-8.2865539692,157.395249518
15736,15736,-8.2868312305,157.327327015
15735,15735,-8.2854462858,157.173317018
15734,15734,-8.2862533886,157.127072307
15733,15733,-8.286874145,157.797434288
15732,15732,-8.2879431967,157.130850526
15731,15731,-8.3086729856,157.823011271
15730,15730,-8.2903855185,157.416923562
15729,15729,-8.2875215331,157.197940983
15728,15728,-8.2889878718,157.510547925
15727,15727,-8.2879504127,157.425017862
15726,15726,-8.2891851722,157.528335801
15725,15725,-8.2891816623,157.158325156
15724,15724,-8.2891990102,157.149746295
15723,15723,-8.2912570497,157.533329222
15722,15722,-8.2910287808,157.53051155
15721,15721,-8.2904202495,157.341688434
15720,15720,-8.2905169846,157.144321415
15719,15719,-8.2953000217,157.198316942
15718,15718,-8.290444959,157.177505383
15717,15717,-8.2912987239,157.167486235
15716,15716,-8.2912682873,157.332905559
15715,15715,-8.3098859101,160.789455743
15714,15714,-8.2911900888,157.498526931
15713,15713,-8.3010996613,156.535639373
15712,15712,-8.2926261417,157.135733114
15711,15711,-8.293027293,157.170672521
15710,15710,-8.2942867989,157.149334281
15709,15709,-8.2954260716,157.185819922
15708,15708,-8.299574123,157.203814547
15707,15707,-8.3071780081,157.385545301
15706,15706,-8.2979335943,159.312089747
15705,15705,-8.2982413426,157.182694895
15704,15704,-8.2983609374,157.343766169
15703,15703,-8.299521275,157.331567406
15702,15702,-8.2990826193,157.120947403
15701,15701,-8.3004330146,157.339994693
15700,15700,-8.3005273416,157.513524173
15699,15699,-8.3009419584,157.144892407
15698,15698,-8.3004405317,157.190437056
15697,15697,-8.301857824,157.178294852
15696,15696,-8.3076357827,157.139515269
15695,15695,-8.3060212543,157.233559243
15694,15694,-8.3115549303,160.570889937
15693,15693,-8.3035500027,157.333850407
15692,15692,-8.3028524086,157.330165468
15691,15691,-8.3036850975,157.123025858
15690,15690,-8.304592012,157.339985065
15689,15689,-8.3083307739,157.198309186
15688,15688,-8.3360800713,157.555830056
15687,15687,-8.3070859878,157.188754752
15686,15686,-8.3083718173,157.330835513
15685,15685,-8.3087712407,157.176664639
15684,15684,-8.310000092,157.336422706
15683,15683,-8.3127603855,157.165568592
15682,15682,-8.3108719109,159.325434653
15681,15681,-8.3259266061,157.339175089
15680,15680,-8.9235485625,160.946889393
15679,15679,-8.3138571845,157.490342126
15678,15678,-8.3113605383,157.330654705
15677,15677,-8.3132162004,157.339523768
15676,15676,-8.3159495199,157.153425928
15675,15675,-8.3142052069,157.223309644
15674,15674,-8.3171057631,157.336669322
15673,15673,-8.3194727929,157.330812586
15672,15672,-8.319296618,157.188807476
15671,15671,-8.3203666259,157.184409611
15670,15670,-8.3229268775,157.325657903
15669,15669,-8.3254445341,157.302509767
15668,15668,-8.3283607522,157.565557641
15667,15667,-8.3318877874,157.1858602
15666,15666,-8.3291858402,160.817124561
15665,15665,-8.3279541942,160.812897358
15664,15664,-8.336020314,157.151111492
15663,15663,-8.3350100775,157.311690353
15662,15662,-8.342066233,157.84936684
15661,15661,-8.3383008844,157.495608393
15660,15660,-8.335958945,157.839079817
15659,15659,-8.3354398711,157.199182231
15658,15658,-8.3366876097,157.264577513
15657,15657,-8.3362781568,157.191230874
15656,15656,-8.3386273952,159.395021358
15655,15655,-8.342154013,157.371764334
15654,15654,-8.3539147721,157.325723478
15653,15653,-8.3505271338,162.864126948
15652,15652,-8.3473550407,157.321321696
15651,15651,-8.3494727226,157.832826578
15650,15650,-8.3483516984,159.467071796
15649,15649,-8.3495863107,157.848768808
15648,15648,-8.3509896056,157.858689592
15647,15647,-8.3500180849,157.300812973
15646,15646,-8.3531703317,157.270969547
15645,15645,-8.354312308,157.855196811
15644,15644,-8.3538985627,157.221036173
15643,15643,-8.3558460826,157.850825517
15642,15642,-8.3594674768,157.301156103
15641,15641,-8.3568332751,157.261433703
15640,15640,-8.3578202545,157.84508417
15639,15639,-8.3570388397,157.31268447
15638,15638,-8.3571031244,157.309584845
15637,15637,-8.3579177572,157.294195475
15636,15636,-8.358248733,159.517022681
15635,15635,-8.3577923422,157.86389048
15634,15634,-8.3575154411,157.316250504
15633,15633,-8.3591831864,157.285439792
15632,15632,-8.3741044933,157.870760098
15631,15631,-8.3609031649,159.467222147
15630,15630,-8.360445851,157.281662846
15629,15629,-8.3612748398,157.867089802
15628,15628,-8.3630238994,157.291165473
15627,15627,-8.3621051289,157.287092586
15626,15626,-8.3674265324,162.846464626
15625,15625,-8.3659932346,157.849004755
15624,15624,-8.3683988266,157.85372486
15623,15623,-8.3678494657,157.860995681
15622,15622,-8.3707988081,157.846473708
15621,15621,-8.3712794513,157.570820913
15620,15620,-8.3730284457,157.232236179
15619,15619,-8.3728643405,157.509761254
15618,15618,-8.3791084724,162.922004162
15617,15617,-8.3939716863,157.532062356
15616,15616,-8.3745934112,157.859584282
15615,15615,-8.3754409575,157.23874226
15614,15614,-8.3766929181,157.864107097
15613,15613,-8.3804401201,157.868328203
15612,15612,-8.4676863819,159.612812375
15611,15611,-8.399212979,157.902475911
15610,15610,-8.3953711129,162.846536837
15609,15609,-8.3937715495,157.882087648
15608,15608,-8.3946073156,157.871676179
15607,15607,-8.3976710111,157.337765918
15606,15606,-8.3972025895,157.323654003
15605,15605,-8.3981809931,157.313194984
15604,15604,-8.4028415544,157.356374912
15603,15603,-8.5464150192,157.313517315
15602,15602,-8.4029353745,157.349166194
15601,15601,-8.4029208788,157.345835825
15600,15600,-8.4043891915,157.310010358
15599,15599,-8.4051437026,157.355414518
15598,15598,-8.4054348996,157.351252603
15597,15597,-8.4131937004,159.824482664
15596,15596,-8.4079473548,157.874579018
15595,15595,-8.4092788691,159.512841412
15594,15594,-8.4108315918,157.878630462
15593,15593,-8.4248676834,157.924350649
15592,15592,-8.4185490785,159.802416966
15591,15591,-8.4195836405,157.912242319
15590,15590,-8.4249418755,157.940038453
15589,15589,-8.4212637907,159.704561355
15588,15588,-8.4225154032,159.852911148
15587,15587,-8.4221220035,159.8366607
15586,15586,-8.4254415867,157.88263114
15585,15585,-8.4254171663,159.704978865
15584,15584,-8.4262679692,159.919832369
15583,15583,-8.4272759082,157.892241612
15582,15582,-8.4283749751,157.880879131
15581,15581,-8.4330625082,157.959959458
15580,15580,-8.4312595996,157.883325688
15579,15579,-8.4325215407,159.829968998
15578,15578,-8.4345686712,159.839911904
