ID,ID,Latitude,Longitude
17794,17794,-16.5355568863,-143.800302242
17793,17793,-16.535272005,-145.476459317
17792,17792,-16.537234217,-154.6402292
17791,17791,-16.5405740767,-151.725504713
17790,17790,-16.5429905573,-143.789508129
17789,17789,-16.5408343286,-151.720428537
17788,17788,-16.5480241386,-154.626276929
17787,17787,-16.547156006,-143.780641311
17786,17786,-16.5503037626,-143.772678229
17785,17785,-16.5923061617,-143.664459673
17784,17784,-16.5562463183,-143.708677539
17783,17783,-16.5574707386,-151.501202178
17782,17782,-16.5575619051,-151.509185035
17781,17781,-16.5588314383,-151.526023525
17780,17780,-16.5568147502,-151.485148019
17779,17779,-16.5570983029,-151.488758283
17778,17778,-16.5573314894,-151.494068598
17777,17777,-16.5585018376,-151.46843918
17776,17776,-16.5584675321,-151.473343472
17775,17775,-16.5579384972,-151.476708058
17774,17774,-16.5591912429,-151.463777934
17773,17773,-16.5598023872,-151.45856487
17772,17772,-16.5632160602,-154.620343784
17771,17771,-16.5616825958,-151.45249342
17770,17770,-16.5647390952,-151.449749307
17769,17769,-16.5670381685,-151.447294881
17768,17768,-16.5687770778,-151.445021288
17767,17767,-16.5729295744,-151.442560598
17766,17766,-16.5766110685,-154.633109339
17765,17765,-16.6269373454,-151.4934515
17764,17764,-16.5803328995,-151.436465338
17763,17763,-16.5816960687,-151.553764945
17762,17762,-16.5938518114,-151.419821391
17761,17761,-16.596274962,-151.56127155
17760,17760,-16.6053550486,-151.563586209
17759,17759,-16.6029342556,-151.411231402
17758,17758,-16.6283221983,-143.463166535
17757,17757,-16.6348899399,-144.196436182
17756,17756,-16.6250369318,-144.222123801
17755,17755,-16.6250049447,-144.225609362
17754,17754,-16.6285200553,-144.23705841
17753,17753,-16.6364401562,-142.838017348
17752,17752,-16.6354351193,-143.565463317
17751,17751,-16.6400207351,-142.847270159
17750,17750,-16.6408427185,-142.828349672
17749,17749,-16.6452172206,-142.821933445
17748,17748,-16.6462457556,-142.852232484
17747,17747,-16.6485908123,-144.2446087
17746,17746,-16.6523818049,-144.230612084
17745,17745,-16.6543292966,-142.814175821
17744,17744,-16.653254505,-151.427718355
17743,17743,-16.6533498611,-142.862114954
17742,17742,-16.6577873849,-142.868560535
17741,17741,-16.6600636383,-144.241951492
17740,17740,-16.6630069587,-142.874589955
17739,17739,-16.6604859624,-143.699429628
17738,17738,-16.6647729753,-144.240076041
17737,17737,-16.6705742167,-144.215211811
17736,17736,-16.6715527866,-144.191074665
17735,17735,-16.6732554339,-142.872513177
17734,17734,-16.6750016222,-151.487504712
17733,17733,-16.6837502467,-145.30662089
17732,17732,-16.6850171758,-142.873773204
17731,17731,-16.688606089,-145.261819351
17730,17730,-16.6862658105,-145.330444639
17729,17729,-16.7259685127,-151.01150523
17728,17728,-16.6879488917,-145.337966448
17727,17727,-16.689608846,-145.342953088
17726,17726,-16.6904417358,-145.347112988
17725,17725,-16.6922088416,-145.3505441
17724,17724,-16.6916808917,-142.874194843
17723,17723,-16.6946090446,-145.356286592
17722,17722,-16.6987612276,-142.875030242
17721,17721,-16.7014420596,-145.363226734
17720,17720,-16.7024091358,-145.225350027
17719,17719,-16.7114144423,-144.088382569
17718,17718,-16.7021038602,-142.795846995
17717,17717,-16.7037630577,-142.874607226
17716,17716,-16.7079278596,-142.788772482
17715,17715,-16.7104322854,-145.365036534
17714,17714,-16.7131554492,-142.87637892
17713,17713,-16.7115183227,-145.216105032
17712,17712,-16.7116769802,-142.786095552
17711,17711,-16.7118379706,-143.461714345
17710,17710,-16.7122124196,-145.212013909
17709,17709,-16.7129834071,-145.186162869
17708,17708,-16.712941202,-145.207259774
17707,17707,-16.7137004421,-145.197134454
17706,17706,-16.7281540118,-145.145540069
17705,17705,-16.7150270856,-145.364169825
17704,17704,-16.7161796364,-142.782006229
17703,17703,-16.7204633513,-145.360552405
17702,17702,-16.7215855838,-150.977812325
17701,17701,-16.7212608736,-142.780006051
17700,17700,-16.8227847155,-151.43505826
17699,17699,-16.7241863454,-143.469615508
17698,17698,-16.7334673982,-150.971049506
17697,17697,-16.7334274913,-142.785325044
17696,17696,-16.7406662358,-151.423596023
17695,17695,-16.7462770773,-151.422924999
17694,17694,-16.7540519355,-142.87574031
17693,17693,-16.7525227191,-142.868365986
17692,17692,-16.784231217,-150.986109304
17691,17691,-16.7574790557,-145.125362191
17690,17690,-16.7651357598,-150.952074498
17689,17689,-16.7984607806,-153.936479896
17688,17688,-16.7723141694,-153.963692565
17687,17687,-16.7760506118,-144.807459156
17686,17686,-16.7781325222,-151.031524903
17685,17685,-16.7882829996,-144.749787402
17684,17684,-16.7817082973,-153.975443013
17683,17683,-16.7888793242,-144.977479484
17682,17682,-16.7858674994,-153.976302328
17681,17681,-16.7886563074,-144.950398029
17680,17680,-16.7883517899,-153.977098211
17679,17679,-16.7896330549,-151.384020536
17678,17678,-16.7909902102,-144.9211358
17677,17677,-16.7910956643,-144.93584679
17676,17676,-16.7917385785,-144.884480564
17675,17675,-16.7941738222,-151.378714553
17674,17674,-16.7989022633,-144.979628413
17673,17673,-16.804460407,-153.986796855
17672,17672,-16.8035488801,-144.97974087
17671,17671,-16.8136300427,-144.286138216
17670,17670,-16.8144539156,-144.269907929
17669,17669,-16.8138517772,-144.980396395
17668,17668,-16.8165009782,-150.971548005
17667,17667,-16.8200365545,-144.980811495
17666,17666,-16.8207909039,-144.725896791
17665,17665,-16.828422005,-144.714130948
17664,17664,-16.8290600035,-151.487737239
17663,17663,-16.8291730814,-144.980844972
17662,17662,-16.8384475373,-141.926108466
17661,17661,-16.8325243711,-144.981689075
17660,17660,-16.8358588896,-153.926254827
17659,17659,-16.8373672221,-144.701866785
