(Intercept)	Annual_precipitation_mean	Annual_temperature_mean	Area_land	EA033	Isolation	Latitude_abs_mean	Precipitation_seasonality_mean	ratio_coastline_to_area	Settlement_order_oldest	Shoreline	Temperature_seasonality_mean	Annual_precipitation_mean:Precipitation_seasonality_mean	Annual_temperature_mean:Temperature_seasonality_mean	Area_land:Settlement_order_oldest	ratio_coastline_to_area:Settlement_order_oldest	Settlement_order_oldest:Shoreline	df	logLik	AICc	delta	weight
1.276576630471808	1.7917040041870097e-6	NA	NA	-0.8355146479204535	3.468076339420964e-4	0.008746741085523457	-0.04434146069434827	NA	0.06514042664559011	-4.29045990450231e-4	NA	1.991564953693174e-5	NA	NA	NA	1.2863713427934504e-4	11	4096	-8164.260869565217	0	0.672094594485515
-1.038599889375882	NA	0.1320905336878919	1.0614889682559485e-4	-0.7412520393887883	3.448937773181058e-4	NA	NA	-0.2796101035019822	-0.12786663320324232	-0.001789122176806498	NA	NA	NA	-1.581386646874982e-5	0.05855592521047196	2.994011159772879e-4	12	4096	-8161.066666666667	3.1942028985504294	0.136087443624068
0.2922544113684886	2.321205895436523e-4	NA	1.8100520890182087e-4	NA	3.273264851968196e-4	-0.023464278923663262	NA	-0.13454126641104033	-0.03664867556819676	-0.0032410046926044838	NA	NA	NA	-1.878103892213232e-5	0.028037595674415456	4.1872083095119335e-4	12	4096	-8161.066666666667	3.1942028985504294	0.136087443624068
80.28609545810089	9.128679608745346e-4	-2.905900094748243	-5.816610127040891e-5	-1.1621553863236789	-6.011178240496981e-4	NA	-0.015193572985765649	-0.09817213461755478	0.17151318732511803	NA	-0.29937560582421757	NA	0.010092284160614355	2.725065734400706e-5	NA	NA	13	4096	-8157.727272727273	6.53359683794406	0.025625826157922
5.378526179729952	-0.0014801685691033881	NA	-8.316122493205024e-5	-1.0186685015100383	2.068186719058312e-4	-0.0056426608044796815	-0.16423804853709112	-0.26023561272147866	0.01980438163721818	NA	NA	8.307177241941229e-5	NA	2.666449332655199e-5	0.04480268712983875	NA	13	4096	-8157.727272727273	6.53359683794406	0.025625826157922
-4.572522788624578	NA	0.26627908576062115	1.0278921597733134e-4	-0.7067060391364892	2.538383208597797e-4	NA	NA	-0.280217013553302	-0.12578196780429307	-0.0018308615055261342	0.022870763885400425	NA	-9.073955848575554e-4	-1.5944852007178844e-5	0.05610157707720137	3.078846589090223e-4	14	4096	-8154.232558139535	10.02831142568175	0.00446488466630101
20.901711337624892	1.1941952857230644e-4	-0.7019946410836428	2.8894657665214e-5	-0.7634397852094529	1.9160598155920609e-4	-0.017454803993285323	-0.03961294192890609	-0.064418259931184	0.030860858796790205	-0.001004612893604806	-0.0720259893208364	1.7850459968820773e-5	0.0024917971020412973	2.8560081680838667e-6	NA	1.626676425522169e-4	17	4096	-8142.7	21.560869565217217	1.39812842028948e-05
26.859523716270747	NA	-0.9222208309221633	5.911230882994276e-5	-0.6299557027088406	-2.838759837127889e-4	0.0532251964506636	NA	NA	0.06172301164423495	-0.0015226971925558677	-0.10121239135412136	NA	0.003003634274421211	NA	NA	2.2718956520267777e-4	12	3424	-6817.066666666667	1347.1942028985504	1.94055616546354e-293
56.12283358141947	8.349918919824679e-4	-2.0118796449930754	-6.124904184432053e-5	-1.2811435960373416	NA	NA	-0.02060164454737526	-0.14666595479431518	0.1173399072753601	3.282049568095629e-4	-0.21584987788722731	NA	0.007386954155065346	1.984529443300484e-5	0.014163960662022232	NA	14	3424	-6810.232558139535	1354.0283114256817	6.36675892833193e-295
-0.07240116986952123	NA	0.043825440164351366	1.7878390090944962e-4	NA	1.3980417072101837e-4	-0.014358601819744698	NA	-0.14645552398535563	-0.03687574332270827	-0.00328222999492944	0.01000856287514013	NA	-5.289972934341123e-4	-1.88984714715747e-5	0.029413265200609006	4.2804077976927685e-4	14	3424	-6810.232558139535	1354.0283114256817	6.36675892833193e-295
48.34017025716727	-2.9700699297034315e-4	-1.672991109780953	-6.336828415843775e-5	-0.9667239325612436	NA	-0.03447641184600982	-0.09753109793744592	-0.08083895342923783	0.1145504268175491	-1.2933243171711503e-5	-0.16838690879295032	4.7874452200123696e-5	0.005840787995384118	2.5436400328988463e-5	NA	NA	15	3424	-6806.571428571428	1357.6894409937886	1.02073785556595e-295
-0.5499667244153668	3.08023904413856e-4	NA	1.706522883068272e-4	NA	NA	0.010139453673904585	0.008831679475537877	NA	0.010510533358947128	-0.0030643055147718673	-0.0023016916202680047	NA	NA	-1.7362164731451977e-5	NA	3.95208159616699e-4	11	3392	-6756.260869565217	1408	1.2137105935666e-306
3.885089226264213	NA	NA	NA	-1.1141947811166	2.3838699542584756e-4	-0.02671354251755116	-0.03260379457100097	-0.23276482587271627	0.004091497739394335	-4.922937670914145e-4	NA	NA	NA	NA	0.035629921314566125	1.4121256309475124e-4	11	3392	-6756.260869565217	1408	1.2137105935666e-306
0.36578241873527384	1.9040630624752293e-4	NA	1.784117847962062e-4	NA	2.5762116145182465e-4	NA	NA	-0.1393328443417677	-0.04081259107030934	-0.00325543410652931	-0.0028539664092484943	NA	NA	-1.7777202084730236e-5	0.028647055325164823	4.197909040224478e-4	12	3392	-6753.066666666667	1411.1942028985504	2.45755245367457e-307
-2.9045136533485276e-4	1.7324118553111389e-4	NA	1.648380492366177e-4	NA	NA	0.01293557462414281	NA	NA	0.025036923663431385	-0.0030348633616352097	-0.003512224858538864	NA	NA	-1.5835881742407116e-5	NA	3.9033131969093535e-4	10	3072	-6119.31914893617	2044.9417206290473	0
