Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A3HGF_061_Line_Y_500m,MOD17A3HGF_061_Sample_X_500m,MOD17A3HGF_061_Npp_500m,MOD17A3HGF_061_Npp_QC_500m,MOD17A3HGF_061_Npp_QC_500m_bitmask,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
16668134,16668134,-16.930720447,179.958958409,2001-01-01,h35v10,1663.0,518.0,32766.0,254.0,0b11111110,0b0,Continuous
16668134,16668134,-16.930720447,179.958958409,2002-01-01,h35v10,1663.0,518.0,32766.0,254.0,0b11111110,0b0,Continuous
16668134,16668134,-16.930720447,179.958958409,2003-01-01,h35v10,1663.0,518.0,32766.0,254.0,0b11111110,0b0,Continuous
16668134,16668134,-16.930720447,179.958958409,2004-01-01,h35v10,1663.0,518.0,32766.0,254.0,0b11111110,0b0,Continuous
1666817,1666817,-16.1525600778,-179.966523578,2001-01-01,h00v10,1476.0,1713.0,32766.0,254.0,0b11111110,0b0,Continuous
1666817,1666817,-16.1525600778,-179.966523578,2002-01-01,h00v10,1476.0,1713.0,32766.0,254.0,0b11111110,0b0,Continuous
1666817,1666817,-16.1525600778,-179.966523578,2003-01-01,h00v10,1476.0,1713.0,32766.0,254.0,0b11111110,0b0,Continuous
1666817,1666817,-16.1525600778,-179.966523578,2004-01-01,h00v10,1476.0,1713.0,32766.0,254.0,0b11111110,0b0,Continuous
16668349,16668349,-16.8268805013,-179.915283676,2001-01-01,h00v10,1638.0,1869.0,1.4905,79.0,0b01001111,0b0,Continuous
16668349,16668349,-16.8268805013,-179.915283676,2002-01-01,h00v10,1638.0,1869.0,1.3995999,82.0,0b01010010,0b0,Continuous
16668349,16668349,-16.8268805013,-179.915283676,2003-01-01,h00v10,1638.0,1869.0,1.6374999,90.0,0b01011010,0b0,Continuous
16668349,16668349,-16.8268805013,-179.915283676,2004-01-01,h00v10,1638.0,1869.0,1.5862,96.0,0b01100000,0b0,Continuous
1666857,1666857,-16.6036740066,179.248314804,2001-01-01,h35v10,1584.0,425.0,1.4994999,68.0,0b01000100,0b0,Continuous
1666857,1666857,-16.6036740066,179.248314804,2002-01-01,h35v10,1584.0,425.0,1.4010999,79.0,0b01001111,0b0,Continuous
1666857,1666857,-16.6036740066,179.248314804,2003-01-01,h35v10,1584.0,425.0,1.5317999,61.0,0b00111101,0b0,Continuous
