Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A3HGF_061_Line_Y_500m,MOD17A3HGF_061_Sample_X_500m,MOD17A3HGF_061_Npp_500m,MOD17A3HGF_061_Npp_QC_500m,MOD17A3HGF_061_Npp_QC_500m_bitmask,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
11335,11335,-2.6538603546,150.56410434,2001-01-01,h33v09,636.0,96.0,32766.0,254.0,0b11111110,0b0,Continuous
11335,11335,-2.6538603546,150.56410434,2002-01-01,h33v09,636.0,96.0,32766.0,254.0,0b11111110,0b0,Continuous
11335,11335,-2.6538603546,150.56410434,2003-01-01,h33v09,636.0,96.0,32766.0,254.0,0b11111110,0b0,Continuous
11335,11335,-2.6538603546,150.56410434,2004-01-01,h33v09,636.0,96.0,32766.0,254.0,0b11111110,0b0,Continuous
11336,11336,-2.6612596776,150.637998773,2001-01-01,h33v09,638.0,114.0,0.0,59.0,0b00111011,0b0,Continuous
11336,11336,-2.6612596776,150.637998773,2002-01-01,h33v09,638.0,114.0,0.0,70.0,0b01000110,0b0,Continuous
11336,11336,-2.6612596776,150.637998773,2003-01-01,h33v09,638.0,114.0,0.0,63.0,0b00111111,0b0,Continuous
11336,11336,-2.6612596776,150.637998773,2004-01-01,h33v09,638.0,114.0,0.0,55.0,0b00110111,0b0,Continuous
11337,11337,-2.6537424228,150.574120646,2001-01-01,h33v09,636.0,99.0,0.0,71.0,0b01000111,0b0,Continuous
11337,11337,-2.6537424228,150.574120646,2002-01-01,h33v09,636.0,99.0,0.0224,74.0,0b01001010,0b0,Continuous
11337,11337,-2.6537424228,150.574120646,2003-01-01,h33v09,636.0,99.0,0.0,65.0,0b01000001,0b0,Continuous
11337,11337,-2.6537424228,150.574120646,2004-01-01,h33v09,636.0,99.0,0.0,76.0,0b01001100,0b0,Continuous
