Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A3HGF_061_Line_Y_500m,MYD17A3HGF_061_Sample_X_500m,MYD17A3HGF_061_Npp_500m,MYD17A3HGF_061_Npp_QC_500m,MYD17A3HGF_061_Npp_QC_500m_bitmask,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
1,1,-16.4625467575,179.03278997,2002-07-04,h35v10,1551.0,406.0,32766.0,254.0,0b11111110,0b0,Continuous
1,1,-16.4625467575,179.03278997,2003-01-01,h35v10,1551.0,406.0,32766.0,254.0,0b11111110,0b0,Continuous
1,1,-16.4625467575,179.03278997,2004-01-01,h35v10,1551.0,406.0,32766.0,254.0,0b11111110,0b0,Continuous
10,10,-16.3933903073,179.342578159,2002-07-04,h35v10,1534.0,492.0,0.3339,75.0,0b01001011,0b0,Continuous
10,10,-16.3933903073,179.342578159,2003-01-01,h35v10,1534.0,492.0,0.4085,26.0,0b00011010,0b0,Continuous
10,10,-16.3933903073,179.342578159,2004-01-01,h35v10,1534.0,492.0,0.4805,46.0,0b00101110,0b0,Continuous
11,11,-16.3948127356,179.168857851,2002-07-04,h35v10,1534.0,452.0,32766.0,254.0,0b11111110,0b0,Continuous
11,11,-16.3948127356,179.168857851,2003-01-01,h35v10,1534.0,452.0,32766.0,254.0,0b11111110,0b0,Continuous
11,11,-16.3948127356,179.168857851,2004-01-01,h35v10,1534.0,452.0,32766.0,254.0,0b11111110,0b0,Continuous
12,12,-16.3922027271,179.354196455,2002-07-04,h35v10,1534.0,495.0,0.0,81.0,0b01010001,0b0,Continuous
12,12,-16.3922027271,179.354196455,2003-01-01,h35v10,1534.0,495.0,0.243,50.0,0b00110010,0b0,Continuous
12,12,-16.3922027271,179.354196455,2004-01-01,h35v10,1534.0,495.0,0.276,46.0,0b00101110,0b0,Continuous
13,13,-16.3901448138,179.149126744,2002-07-04,h35v10,1533.0,448.0,0.3759,85.0,0b01010101,0b0,Continuous
13,13,-16.3901448138,179.149126744,2003-01-01,h35v10,1533.0,448.0,0.5553,79.0,0b01001111,0b0,Continuous
13,13,-16.3901448138,179.149126744,2004-01-01,h35v10,1533.0,448.0,0.4139,50.0,0b00110010,0b0,Continuous
1361,1361,-5.7005474997,138.228952736,2002-07-04,h31v09,1368.0,1810.0,32766.0,254.0,0b11111110,0b0,Continuous
1361,1361,-5.7005474997,138.228952736,2003-01-01,h31v09,1368.0,1810.0,32766.0,254.0,0b11111110,0b0,Continuous
1361,1361,-5.7005474997,138.228952736,2004-01-01,h31v09,1368.0,1810.0,32766.0,254.0,0b11111110,0b0,Continuous
1368,1368,-5.7024100649,138.203721963,2002-07-04,h31v09,1368.0,1804.0,32766.0,254.0,0b11111110,0b0,Continuous
1368,1368,-5.7024100649,138.203721963,2003-01-01,h31v09,1368.0,1804.0,32766.0,254.0,0b11111110,0b0,Continuous
1368,1368,-5.7024100649,138.203721963,2004-01-01,h31v09,1368.0,1804.0,32766.0,254.0,0b11111110,0b0,Continuous
14,14,-16.3910309779,179.12278124,2002-07-04,h35v10,1533.0,442.0,0.0,88.0,0b01011000,0b0,Continuous
14,14,-16.3910309779,179.12278124,2003-01-01,h35v10,1533.0,442.0,0.3526,65.0,0b01000001,0b0,Continuous
14,14,-16.3910309779,179.12278124,2004-01-01,h35v10,1533.0,442.0,0.4264,55.0,0b00110111,0b0,Continuous
15,15,-16.38385757,179.211366154,2002-07-04,h35v10,1532.0,464.0,32766.0,254.0,0b11111110,0b0,Continuous
15,15,-16.38385757,179.211366154,2003-01-01,h35v10,1532.0,464.0,32766.0,254.0,0b11111110,0b0,Continuous
15,15,-16.38385757,179.211366154,2004-01-01,h35v10,1532.0,464.0,32766.0,254.0,0b11111110,0b0,Continuous
1578,1578,-5.359968611,137.764533301,2002-07-04,h31v09,1286.0,1718.0,32766.0,254.0,0b11111110,0b0,Continuous
1578,1578,-5.359968611,137.764533301,2003-01-01,h31v09,1286.0,1718.0,32766.0,254.0,0b11111110,0b0,Continuous
1578,1578,-5.359968611,137.764533301,2004-01-01,h31v09,1286.0,1718.0,32766.0,254.0,0b11111110,0b0,Continuous
1583,1583,-5.3442283587,137.739051483,2002-07-04,h31v09,1282.0,1713.0,0.0,76.0,0b01001100,0b0,Continuous
1583,1583,-5.3442283587,137.739051483,2003-01-01,h31v09,1282.0,1713.0,0.0,65.0,0b01000001,0b0,Continuous
1583,1583,-5.3442283587,137.739051483,2004-01-01,h31v09,1282.0,1713.0,0.0,35.0,0b00100011,0b0,Continuous
16,16,-16.3706456996,179.203302758,2002-07-04,h35v10,1528.0,465.0,32766.0,254.0,0b11111110,0b0,Continuous
16,16,-16.3706456996,179.203302758,2003-01-01,h35v10,1528.0,465.0,32766.0,254.0,0b11111110,0b0,Continuous
16,16,-16.3706456996,179.203302758,2004-01-01,h35v10,1528.0,465.0,32766.0,254.0,0b11111110,0b0,Continuous
1601,1601,-5.2287546839,137.673056976,2002-07-04,h31v09,1254.0,1704.0,32766.0,254.0,0b11111110,0b0,Continuous
1601,1601,-5.2287546839,137.673056976,2003-01-01,h31v09,1254.0,1704.0,32766.0,254.0,0b11111110,0b0,Continuous
1601,1601,-5.2287546839,137.673056976,2004-01-01,h31v09,1254.0,1704.0,32766.0,254.0,0b11111110,0b0,Continuous
1603,1603,-5.2233675415,137.515534959,2002-07-04,h31v09,1253.0,1666.0,32766.0,254.0,0b11111110,0b0,Continuous
1603,1603,-5.2233675415,137.515534959,2003-01-01,h31v09,1253.0,1666.0,32766.0,254.0,0b11111110,0b0,Continuous
1603,1603,-5.2233675415,137.515534959,2004-01-01,h31v09,1253.0,1666.0,32766.0,254.0,0b11111110,0b0,Continuous
1605,1605,-5.2017015521,137.502084421,2002-07-04,h31v09,1248.0,1664.0,32766.0,254.0,0b11111110,0b0,Continuous
1605,1605,-5.2017015521,137.502084421,2003-01-01,h31v09,1248.0,1664.0,32766.0,254.0,0b11111110,0b0,Continuous
1605,1605,-5.2017015521,137.502084421,2004-01-01,h31v09,1248.0,1664.0,32766.0,254.0,0b11111110,0b0,Continuous
1607,1607,-5.189525345,137.499909241,2002-07-04,h31v09,1245.0,1664.0,32766.0,254.0,0b11111110,0b0,Continuous
1607,1607,-5.189525345,137.499909241,2003-01-01,h31v09,1245.0,1664.0,32766.0,254.0,0b11111110,0b0,Continuous
