Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A3HGF_061_Line_Y_500m,MYD17A3HGF_061_Sample_X_500m,MYD17A3HGF_061_Npp_500m,MYD17A3HGF_061_Npp_QC_500m,MYD17A3HGF_061_Npp_QC_500m_bitmask,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
10332,10332,-10.6067655365,150.009731748,2003-01-01,h32v10,145.0,1787.0,32766.0,254.0,0b11111110,0b0,Continuous
10332,10332,-10.6067655365,150.009731748,2004-01-01,h32v10,145.0,1787.0,32766.0,254.0,0b11111110,0b0,Continuous
10333,10333,-10.606251544,150.651673376,2003-01-01,h32v10,145.0,1938.0,32766.0,254.0,0b11111110,0b0,Continuous
10333,10333,-10.606251544,150.651673376,2004-01-01,h32v10,145.0,1938.0,32766.0,254.0,0b11111110,0b0,Continuous
10334,10334,-10.603840787,151.368494316,2003-01-01,h32v10,144.0,2108.0,32766.0,254.0,0b11111110,0b0,Continuous
10334,10334,-10.603840787,151.368494316,2004-01-01,h32v10,144.0,2108.0,32766.0,254.0,0b11111110,0b0,Continuous
10335,10335,-10.6029331789,151.304981225,2003-01-01,h32v10,144.0,2093.0,32766.0,254.0,0b11111110,0b0,Continuous
10335,10335,-10.6029331789,151.304981225,2004-01-01,h32v10,144.0,2093.0,32766.0,254.0,0b11111110,0b0,Continuous
10336,10336,-10.6125363256,151.240732929,2003-01-01,h32v10,147.0,2076.0,32766.0,254.0,0b11111110,0b0,Continuous
10336,10336,-10.6125363256,151.240732929,2004-01-01,h32v10,147.0,2076.0,32766.0,254.0,0b11111110,0b0,Continuous
10337,10337,-10.5970836196,149.932076923,2003-01-01,h32v10,143.0,1769.0,32766.0,254.0,0b11111110,0b0,Continuous
10337,10337,-10.5970836196,149.932076923,2004-01-01,h32v10,143.0,1769.0,32766.0,254.0,0b11111110,0b0,Continuous
10338,10338,-10.5971805801,150.682495331,2003-01-01,h32v10,143.0,1947.0,32766.0,254.0,0b11111110,0b0,Continuous
10338,10338,-10.5971805801,150.682495331,2004-01-01,h32v10,143.0,1947.0,32766.0,254.0,0b11111110,0b0,Continuous
10339,10339,-10.5941760328,150.019508105,2003-01-01,h32v10,142.0,1790.0,32766.0,254.0,0b11111110,0b0,Continuous
10339,10339,-10.5941760328,150.019508105,2004-01-01,h32v10,142.0,1790.0,32766.0,254.0,0b11111110,0b0,Continuous
10340,10340,-10.5892916668,151.041459931,2003-01-01,h32v10,141.0,2032.0,32766.0,254.0,0b11111110,0b0,Continuous
10340,10340,-10.5892916668,151.041459931,2004-01-01,h32v10,141.0,2032.0,32766.0,254.0,0b11111110,0b0,Continuous
10341,10341,-10.5893035898,150.64299414,2003-01-01,h32v10,141.0,1938.0,32766.0,254.0,0b11111110,0b0,Continuous
10341,10341,-10.5893035898,150.64299414,2004-01-01,h32v10,141.0,1938.0,32766.0,254.0,0b11111110,0b0,Continuous
10342,10342,-10.5912175127,150.731095085,2003-01-01,h32v10,141.0,1959.0,0.4823,57.0,0b00111001,0b0,Continuous
10342,10342,-10.5912175127,150.731095085,2004-01-01,h32v10,141.0,1959.0,0.3554,40.0,0b00101000,0b0,Continuous
10343,10343,-10.5899661403,151.366374439,2003-01-01,h32v10,141.0,2109.0,32766.0,254.0,0b11111110,0b0,Continuous
10343,10343,-10.5899661403,151.366374439,2004-01-01,h32v10,141.0,2109.0,32766.0,254.0,0b11111110,0b0,Continuous
10344,10344,-10.5906614421,151.198485548,2003-01-01,h32v10,141.0,2069.0,1.581,63.0,0b00111111,0b0,Continuous
10344,10344,-10.5906614421,151.198485548,2004-01-01,h32v10,141.0,2069.0,1.1358,68.0,0b01000100,0b0,Continuous
10345,10345,-10.5828741637,151.282191838,2003-01-01,h32v10,139.0,2090.0,32766.0,254.0,0b11111110,0b0,Continuous
10345,10345,-10.5828741637,151.282191838,2004-01-01,h32v10,139.0,2090.0,32766.0,254.0,0b11111110,0b0,Continuous
