Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A3HGF_061_Line_Y_500m,MOD17A3HGF_061_Sample_X_500m,MOD17A3HGF_061_Npp_500m,MOD17A3HGF_061_Npp_QC_500m,MOD17A3HGF_061_Npp_QC_500m_bitmask,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
4415,4415,-0.351694435,131.011657715,2001-01-01,h31v09,84.0,242.0,32766.0,254.0,0b11111110,0b0,Continuous
4415,4415,-0.351694435,131.011657715,2002-01-01,h31v09,84.0,242.0,32766.0,254.0,0b11111110,0b0,Continuous
4415,4415,-0.351694435,131.011657715,2003-01-01,h31v09,84.0,242.0,32766.0,254.0,0b11111110,0b0,Continuous
4415,4415,-0.351694435,131.011657715,2004-01-01,h31v09,84.0,242.0,32766.0,254.0,0b11111110,0b0,Continuous
4416,4416,-0.3554137505,131.035678685,2001-01-01,h31v09,85.0,247.0,32766.0,254.0,0b11111110,0b0,Continuous
4416,4416,-0.3554137505,131.035678685,2002-01-01,h31v09,85.0,247.0,32766.0,254.0,0b11111110,0b0,Continuous
4416,4416,-0.3554137505,131.035678685,2003-01-01,h31v09,85.0,247.0,32766.0,254.0,0b11111110,0b0,Continuous
4416,4416,-0.3554137505,131.035678685,2004-01-01,h31v09,85.0,247.0,32766.0,254.0,0b11111110,0b0,Continuous
4419,4419,-0.3500203506,130.993296373,2001-01-01,h31v09,84.0,237.0,0.381,61.0,0b00111101,0b0,Continuous
4419,4419,-0.3500203506,130.993296373,2002-01-01,h31v09,84.0,237.0,0.4558,57.0,0b00111001,0b0,Continuous
4419,4419,-0.3500203506,130.993296373,2003-01-01,h31v09,84.0,237.0,0.4586,62.0,0b00111110,0b0,Continuous
4419,4419,-0.3500203506,130.993296373,2004-01-01,h31v09,84.0,237.0,0.4795,44.0,0b00101100,0b0,Continuous
4423,4423,-0.349250733,130.335043318,2001-01-01,h31v09,83.0,79.0,32766.0,254.0,0b11111110,0b0,Continuous
4423,4423,-0.349250733,130.335043318,2002-01-01,h31v09,83.0,79.0,32766.0,254.0,0b11111110,0b0,Continuous
4423,4423,-0.349250733,130.335043318,2003-01-01,h31v09,83.0,79.0,32766.0,254.0,0b11111110,0b0,Continuous
4423,4423,-0.349250733,130.335043318,2004-01-01,h31v09,83.0,79.0,32766.0,254.0,0b11111110,0b0,Continuous
4424,4424,-0.3483396275,131.007896581,2001-01-01,h31v09,83.0,241.0,32766.0,254.0,0b11111110,0b0,Continuous
4424,4424,-0.3483396275,131.007896581,2002-01-01,h31v09,83.0,241.0,32766.0,254.0,0b11111110,0b0,Continuous
4424,4424,-0.3483396275,131.007896581,2003-01-01,h31v09,83.0,241.0,32766.0,254.0,0b11111110,0b0,Continuous
4424,4424,-0.3483396275,131.007896581,2004-01-01,h31v09,83.0,241.0,32766.0,254.0,0b11111110,0b0,Continuous
4426,4426,-0.3475074531,130.535791179,2001-01-01,h31v09,83.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
4426,4426,-0.3475074531,130.535791179,2002-01-01,h31v09,83.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
4426,4426,-0.3475074531,130.535791179,2003-01-01,h31v09,83.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
4426,4426,-0.3475074531,130.535791179,2004-01-01,h31v09,83.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
4427,4427,-0.3515731149,130.38253317,2001-01-01,h31v09,84.0,91.0,32766.0,254.0,0b11111110,0b0,Continuous
4427,4427,-0.3515731149,130.38253317,2002-01-01,h31v09,84.0,91.0,32766.0,254.0,0b11111110,0b0,Continuous
4427,4427,-0.3515731149,130.38253317,2003-01-01,h31v09,84.0,91.0,32766.0,254.0,0b11111110,0b0,Continuous
4427,4427,-0.3515731149,130.38253317,2004-01-01,h31v09,84.0,91.0,32766.0,254.0,0b11111110,0b0,Continuous
4428,4428,-0.3449999989,130.585411948,2001-01-01,h31v09,82.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4428,4428,-0.3449999989,130.585411948,2002-01-01,h31v09,82.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4428,4428,-0.3449999989,130.585411948,2003-01-01,h31v09,82.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4428,4428,-0.3449999989,130.585411948,2004-01-01,h31v09,82.0,139.0,32766.0,254.0,0b11111110,0b0,Continuous
4432,4432,-0.3461425069,130.576177293,2001-01-01,h31v09,83.0,137.0,0.3593,57.0,0b00111001,0b0,Continuous
4432,4432,-0.3461425069,130.576177293,2002-01-01,h31v09,83.0,137.0,0.4982,36.0,0b00100100,0b0,Continuous
4432,4432,-0.3461425069,130.576177293,2003-01-01,h31v09,83.0,137.0,0.3441,47.0,0b00101111,0b0,Continuous
4432,4432,-0.3461425069,130.576177293,2004-01-01,h31v09,83.0,137.0,0.4175,52.0,0b00110100,0b0,Continuous
4434,4434,-0.3447507839,132.168600005,2001-01-01,h31v09,82.0,519.0,0.4353,90.0,0b01011010,0b0,Continuous
