Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A3HGF_061_Line_Y_500m,MYD17A3HGF_061_Sample_X_500m,MYD17A3HGF_061_Npp_500m,MYD17A3HGF_061_Npp_QC_500m,MYD17A3HGF_061_Npp_QC_500m_bitmask,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
17795,17795,-16.5313505927,-151.760686927,2002-07-04,h03v10,1567.0,1082.0,32766.0,254.0,0b11111110,0b0,Continuous
17795,17795,-16.5313505927,-151.760686927,2003-01-01,h03v10,1567.0,1082.0,32766.0,254.0,0b11111110,0b0,Continuous
17795,17795,-16.5313505927,-151.760686927,2004-01-01,h03v10,1567.0,1082.0,32766.0,254.0,0b11111110,0b0,Continuous
17796,17796,-16.5286804741,-145.522837818,2002-07-04,h04v10,1566.0,117.0,32766.0,254.0,0b11111110,0b0,Continuous
17796,17796,-16.5286804741,-145.522837818,2003-01-01,h04v10,1566.0,117.0,32766.0,254.0,0b11111110,0b0,Continuous
17796,17796,-16.5286804741,-145.522837818,2004-01-01,h04v10,1566.0,117.0,32766.0,254.0,0b11111110,0b0,Continuous
17797,17797,-16.524206346,-145.474617557,2002-07-04,h04v10,1565.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
17797,17797,-16.524206346,-145.474617557,2003-01-01,h04v10,1565.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
17797,17797,-16.524206346,-145.474617557,2004-01-01,h04v10,1565.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
17798,17798,-16.5211337992,-145.471418314,2002-07-04,h04v10,1565.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
17798,17798,-16.5211337992,-145.471418314,2003-01-01,h04v10,1565.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
17798,17798,-16.5211337992,-145.471418314,2004-01-01,h04v10,1565.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
17799,17799,-16.5183578495,-145.468377669,2002-07-04,h04v10,1564.0,128.0,32766.0,254.0,0b11111110,0b0,Continuous
