Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A3HGF_061_Line_Y_500m,MYD17A3HGF_061_Sample_X_500m,MYD17A3HGF_061_Npp_500m,MYD17A3HGF_061_Npp_QC_500m,MYD17A3HGF_061_Npp_QC_500m_bitmask,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
15793,15793,-8.2555043614,157.112280103,2002-07-04,h33v09,1981.0,1316.0,32766.0,254.0,0b11111110,0b0,Continuous
15793,15793,-8.2555043614,157.112280103,2003-01-01,h33v09,1981.0,1316.0,32766.0,254.0,0b11111110,0b0,Continuous
15793,15793,-8.2555043614,157.112280103,2004-01-01,h33v09,1981.0,1316.0,32766.0,254.0,0b11111110,0b0,Continuous
15794,15794,-8.2554424107,157.519613323,2002-07-04,h33v09,1981.0,1412.0,32766.0,254.0,0b11111110,0b0,Continuous
15794,15794,-8.2554424107,157.519613323,2003-01-01,h33v09,1981.0,1412.0,32766.0,254.0,0b11111110,0b0,Continuous
15794,15794,-8.2554424107,157.519613323,2004-01-01,h33v09,1981.0,1412.0,32766.0,254.0,0b11111110,0b0,Continuous
15795,15795,-8.2537880764,157.121250649,2002-07-04,h33v09,1980.0,1318.0,0.395,72.0,0b01001000,0b0,Continuous
15795,15795,-8.2537880764,157.121250649,2003-01-01,h33v09,1980.0,1318.0,0.3474,44.0,0b00101100,0b0,Continuous
15795,15795,-8.2537880764,157.121250649,2004-01-01,h33v09,1980.0,1318.0,0.348,52.0,0b00110100,0b0,Continuous
15796,15796,-8.2533518669,157.112928707,2002-07-04,h33v09,1980.0,1316.0,0.3366,76.0,0b01001100,0b0,Continuous
15796,15796,-8.2533518669,157.112928707,2003-01-01,h33v09,1980.0,1316.0,0.3824,50.0,0b00110010,0b0,Continuous
15796,15796,-8.2533518669,157.112928707,2004-01-01,h33v09,1980.0,1316.0,0.3065,51.0,0b00110011,0b0,Continuous
15797,15797,-8.2573518204,157.124458223,2002-07-04,h33v09,1981.0,1318.0,0.3906,73.0,0b01001001,0b0,Continuous
15797,15797,-8.2573518204,157.124458223,2003-01-01,h33v09,1981.0,1318.0,0.3919,41.0,0b00101001,0b0,Continuous
15797,15797,-8.2573518204,157.124458223,2004-01-01,h33v09,1981.0,1318.0,0.2401,52.0,0b00110100,0b0,Continuous
15798,15798,-8.2525432477,157.069607061,2002-07-04,h33v09,1980.0,1306.0,0.1191,79.0,0b01001111,0b0,Continuous
