society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ej12,Lawa,xd719,west2396,Western Lawa,Austroasiatic,NetPrimaryProductionPredictability,0.380699325,,,,
B9,Semang,xd725,kens1248,Kensiu,Austroasiatic,NetPrimaryProductionPredictability,0.380206402,,,,
Ig4,Lesu,xd856,nots1237,Notsi,Austronesian,NetPrimaryProductionPredictability,0.380178984,,,,
Ie26,Ngarawapum,xd803,adze1240,Adzera,Austronesian,NetPrimaryProductionPredictability,0.379124219,,,,
Ei18,Palaung,xd705,shwe1236,Shwe Palaung,Austroasiatic,NetPrimaryProductionPredictability,0.378857381,,,,
Ej8,Malays,xd730,mala1479,Colloquial Malay,Austronesian,NetPrimaryProductionPredictability,0.377388276,,,,
SCCS85,Iban,xd750,iban1264,Iban,Austronesian,NetPrimaryProductionPredictability,0.377001354,,,,
SCCS97,Lesu,xd856,nots1237,Notsi,Austronesian,NetPrimaryProductionPredictability,0.373943808,,,,
B1,Punan,xd1442,west2563,Western Penan,Austronesian,NetPrimaryProductionPredictability,0.373556886,,,,
Ia13,Badjau Tawi-Tawi,xd736,sout2918,Southern Sama,Austronesian,NetPrimaryProductionPredictability,0.371434021,,,,
B12,Agta (Casiguran),xd906,casi1235,Casiguran-Nagtipunan Agta,Austronesian,NetPrimaryProductionPredictability,0.36635961,,,,
B13,Agta (Isabela),xd907,agta1234,Agta-Pahanan,Austronesian,NetPrimaryProductionPredictability,0.36635961,,,,
Ib9,Punan,xd758,puna1275,Punan Bah-Biau,Austronesian,NetPrimaryProductionPredictability,0.364757086,,,,
Ib1,Iban,xd750,iban1264,Iban,Austronesian,NetPrimaryProductionPredictability,0.363743823,,,,
Ib5,Kadazan-Dusun,xd754,cent2100,Central Dusun,Austronesian,NetPrimaryProductionPredictability,0.360580276,,,,
Ej3,Semang,xd725,kens1248,Kensiu,Austroasiatic,NetPrimaryProductionPredictability,0.360018433,,,,
SCCS77,Semang,xd725,kens1248,Kensiu,Austroasiatic,NetPrimaryProductionPredictability,0.360018433,,,,
Ib3,Balinese,xd752,bali1278,Balinese,Austronesian,NetPrimaryProductionPredictability,0.35828249,,,,
B2,Palawan Batak,xd900,bata1301,Batak,Austronesian,NetPrimaryProductionPredictability,0.355533284,,,,
Ia7,Tagbanua,xd747,tagb1258,Tagbanwa,Austronesian,NetPrimaryProductionPredictability,0.355533284,,,,"Note, estimate is from a point 41 km away (coordinates: 10.36,119.08); data were not available at society's reported location"
