society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ca12,Gibe,xd418,west2721,West Central Oromo,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,2.52645751,,,,
Ca39,Jimma,xd447,west2721,West Central Oromo,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,2.52645751,,,,
Af44,Alagya,xd224,alla1248,Alladian,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.527160679,,,,
Ig17,Kombe,xd849,mudu1242,Muduapa,Austronesian,MonthlyMeanNetPrimaryProduction,2.52735919,,,,
Ia5,Hanunoo,xd745,hanu1241,Hanunoo,Austronesian,MonthlyMeanNetPrimaryProduction,2.529588686,,,,
Si5,Kamayurá,xd1402,kama1373,Kamayurá,Tupian,MonthlyMeanNetPrimaryProduction,2.531153314,,,,
Si9,Aweti,xd1406,awet1244,Awetí,Tupian,MonthlyMeanNetPrimaryProduction,2.531153314,,,,
Ag24,Koranko,xd260,kura1250,Kuranko,Mande,MonthlyMeanNetPrimaryProduction,2.540359437,,,,
Ac4,Kuba,xd66,bush1247,Bushoong,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.540780127,,,,
SCCS50,Spanish Basques,xd535,west1508,Western Low Navarrese,Basque,MonthlyMeanNetPrimaryProduction,2.543241051,,,,
Nj14,Tequistlatec,xd1300,high1242,Highland Oaxaca Chontal,Tequistlatecan,MonthlyMeanNetPrimaryProduction,2.544960474,,,,
Ai31,Logo,xd361,logo1259,Logo,Central Sudanic,MonthlyMeanNetPrimaryProduction,2.545679451,,,,
SCCS156,Miskito,xd1325,misk1235,Mískito,Misumalpan,MonthlyMeanNetPrimaryProduction,2.546350049,,,,"Note, estimate is from a point 22 km away (coordinates: 14.85,-83.13); data were not available at society's reported location"
Ae27,Lokele,xd146,kele1255,Kele-Foma,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.550099893,,,,
Ae47,Puku,xd168,bata1285,Batanga,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.555008646,,,,
Ed6,Min Chinese,xd649,minn1241,Min Nan Chinese,Sino-Tibetan,MonthlyMeanNetPrimaryProduction,2.556015316,,,,
Ae37,Budja,xd157,budz1238,Budza,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.560903752,,,,
B136,Tasmanians (southeastern),xd980,sout1439,South-Eastern-Tasmanian-Hinterland,South-Eastern Tasmanian,MonthlyMeanNetPrimaryProduction,2.566205534,,,,
B168,Coast Miwok,xd983,coas1301,Coast Miwok,Miwok-Costanoan,MonthlyMeanNetPrimaryProduction,2.567101038,,,,
Nc20,Wappo,xd1119,wapp1239,Wappo,Yuki-Wappo,MonthlyMeanNetPrimaryProduction,2.567101038,,,,
WNAI65,Southern Pomo,xd1117,sout2984,Southern Pomo,Pomoan,MonthlyMeanNetPrimaryProduction,2.567101038,,,,
Ac14,Bakongo,xd38,sans1272,Cimbala-Cizali,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.567903903,,,,
B280,Cowichan,xd1086,cowi1241,Cowichan,Salishan,MonthlyMeanNetPrimaryProduction,2.569965106,,,,
SCCS173,Sirionó,xd1362,siri1273,Sirionó,Tupian,MonthlyMeanNetPrimaryProduction,2.583397327,,,,
Ae29,Poto,xd148,luse1252,Lusengo,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.584560608,,,,
Af51,Gagu,xd232,gagu1242,Gban,Mande,MonthlyMeanNetPrimaryProduction,2.585554595,,,,
Af52,Guro,xd233,guro1248,Guro,Mande,MonthlyMeanNetPrimaryProduction,2.585554595,,,,
Ad12,Gusii,xd79,gusi1247,Gusii,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.586203063,,,,
Ii10,Rennell Islanders,xd877,renn1242,Rennell-Bellona,Austronesian,MonthlyMeanNetPrimaryProduction,2.588346097,,,,
Ae26,Topoke,xd145,poke1238,Poke,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.58867318,,,,
Ae53,Koko,xd175,bako1249,Bakoko,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.589741848,,,,
Sa12,Lenca,xd1312,lenc1242,Lenca-Honduras,Lencan,MonthlyMeanNetPrimaryProduction,2.590501482,,,,
Nj2,Aztec,xd1301,clas1250,Classical Nahuatl,Uto-Aztecan,MonthlyMeanNetPrimaryProduction,2.590952322,,,,
B61,Bayaka,xd924,beka1240,Beka,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.598516114,,,,
Ae4,Nkundo,xd160,nkun1238,Nkundo,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.599315267,,,,
Ae21,Kela,xd140,yela1238,Yela-Kela,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.600115194,,,,
Ad9,Gisu,xd126,masa1299,Masaaba,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.604230484,,,,
If5,Ponapeans,xd836,pohn1238,Pohnpeian,Austronesian,MonthlyMeanNetPrimaryProduction,2.604249012,,,,
Ij9,Easter Islanders,xd898,rapa1244,Rapanui,Austronesian,MonthlyMeanNetPrimaryProduction,2.605149662,,,,
Ng5,Cherokee,xd1254,cher1273,Cherokee,Iroquoian,MonthlyMeanNetPrimaryProduction,2.607849555,,,,
Ad41,Vugusu,xd111,buku1249,Bukusu,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.609337945,,,,
Aj27,Sapei,xd403,kups1238,Kupsabiny,Nilotic,MonthlyMeanNetPrimaryProduction,2.609337945,,,,
Ai25,Mbandja,xd354,mban1263,Mbandja,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.613941737,,,,
Sb3,Barí (Motilon),xd1328,yukp1241,Yukpa,Cariban,MonthlyMeanNetPrimaryProduction,2.616644022,,,,
Sb7,Yupa,xd1332,yukp1241,Yukpa,Cariban,MonthlyMeanNetPrimaryProduction,2.616644022,,,,
Ae23,Lalia,xd142,ngan1302,Ngando-Lalia,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.617941675,,,,
Af7,Bete,xd241,dalo1238,Daloa Bété,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.623178113,,,,
Ag35,Kulango,xd272,boun1243,Bouna Kulango,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.623666008,,,,
Nf8,Hasinai,xd1242,cadd1256,Caddo,Caddoan,MonthlyMeanNetPrimaryProduction,2.624682603,,,,
Ae36,Bombesa,xd156,mbes1238,Mbesa,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.627921385,,,,
B178,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,MonthlyMeanNetPrimaryProduction,2.630360672,,,,
Nb31,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,MonthlyMeanNetPrimaryProduction,2.630360672,,,,
Nb6,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,MonthlyMeanNetPrimaryProduction,2.630360672,,,,
WNAI35,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,MonthlyMeanNetPrimaryProduction,2.630360672,,,,
SCCS175,Trumai,xd1399,trum1247,Trumai,,MonthlyMeanNetPrimaryProduction,2.633070513,,,,
Sa1,Guna,xd1309,bord1248,Border Kuna,Chibchan,MonthlyMeanNetPrimaryProduction,2.634475779,,,,
SCCS82,Negri Sembilan,xd723,nege1240,Negeri Sembilan Malay,Austronesian,MonthlyMeanNetPrimaryProduction,2.6352458,,,,
Nb25,Quinault,xd1085,quin1251,Quinault,Salishan,MonthlyMeanNetPrimaryProduction,2.641311366,,,,
WNAI24,Quinault,xd1085,quin1251,Quinault,Salishan,MonthlyMeanNetPrimaryProduction,2.641311366,,,,
Af41,Attie,xd221,atti1239,Attié,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.644114377,,,,
